Strategy,Candles,Total_Return,Max_Drawdown,Calmar_Ratio,Total_Trades,Score,Buy_Hold_Return,Outperformance
adaptive_ema_v1,300,ERROR,,,,,,
adaptive_ema_v1,600,ERROR,,,,,,
adaptive_ema_v1,1100,ERROR,,,,,,
adaptive_ema_v1,1400,ERROR,,,,,,
adaptive_ema_v1,1700,ERROR,,,,,,
adaptive_ema_v1,2000,ERROR,,,,,,
adaptive_ema_v1,2500,ERROR,,,,,,
adaptive_ema_v2,300,ERROR,,,,,,
adaptive_ema_v2,600,ERROR,,,,,,
adaptive_ema_v2,1100,ERROR,,,,,,
adaptive_ema_v2,1400,ERROR,,,,,,
adaptive_ema_v2,1700,ERROR,,,,,,
adaptive_ema_v2,2000,ERROR,,,,,,
adaptive_ema_v2,2500,ERROR,,,,,,
adaptive_ema_v4,300,ERROR,,,,,,
adaptive_ema_v4,600,ERROR,,,,,,
adaptive_ema_v4,1100,ERROR,,,,,,
adaptive_ema_v4,1400,ERROR,,,,,,
adaptive_ema_v4,1700,ERROR,,,,,,
adaptive_ema_v4,2000,ERROR,,,,,,
adaptive_ema_v4,2500,ERROR,,,,,,
ema_simple_v1,300,ERROR,,,,,,
ema_simple_v1,600,ERROR,,,,,,
ema_simple_v1,1100,ERROR,,,,,,
ema_simple_v1,1400,ERROR,,,,,,
ema_simple_v1,1700,ERROR,,,,,,
ema_simple_v1,2000,ERROR,,,,,,
ema_simple_v1,2500,ERROR,,,,,,
